date;T1A1;T1A2;T1A3;T1A4
2021-06-20 00:26:58;2803.030029;3234.849121;621.211975;17454.54492
2021-06-20 00:43:03;2803.030029;3234.849121;621.211975;17446.96875
2021-06-20 00:59:08;2795.455078;3234.849121;621.211975;17446.96875
2021-06-20 01:15:13;2795.455078;3234.849121;621.211975;17454.54492
2021-06-20 01:31:21;2795.455078;3242.424072;621.211975;17454.54492
2021-06-20 01:47:26;2795.455078;3234.849121;621.211975;17454.54492
2021-06-20 02:03:32;2795.455078;3242.424072;621.211975;17462.12109
2021-06-20 02:19:37;2795.455078;3242.424072;621.211975;17469.69727
2021-06-20 02:35:44;2795.455078;3234.849121;628.788025;17462.12109
2021-06-20 02:51:50;2795.455078;3242.424072;621.211975;17469.69727
2021-06-20 03:07:56;2795.455078;3234.849121;621.211975;17469.69727
2021-06-20 03:24:02;2795.455078;3242.424072;621.211975;17469.69727
2021-06-20 03:40:10;2810.605957;3234.849121;621.211975;17477.27148
2021-06-20 03:56:16;2810.605957;3234.849121;628.788025;17477.27148
2021-06-20 04:12:22;2803.030029;3242.424072;628.788025;17477.27148
2021-06-20 04:28:28;2810.605957;3242.424072;628.788025;17477.27148
2021-06-20 04:44:36;2818.181885;3242.424072;628.788025;17477.27148
2021-06-20 05:00:41;2825.758057;3242.424072;636.364014;17477.27148
2021-06-20 05:16:48;2825.758057;3250;636.364014;17484.84766
2021-06-20 05:32:54;2825.758057;3250;636.364014;17477.27148
2021-06-20 05:49:03;2825.758057;3250;643.939026;17484.84766
2021-06-20 06:05:09;2825.758057;3257.575928;643.939026;17492.42383
2021-06-20 06:21:15;2833.333984;3250;643.939026;17492.42383
2021-06-20 06:37:21;2825.758057;3250;643.939026;17492.42383
2021-06-20 06:53:30;2825.758057;3250;643.939026;17500
2021-06-20 07:09:37;2833.333984;3257.575928;643.939026;17492.42383
2021-06-20 07:25:44;2833.333984;3250;643.939026;17500
2021-06-20 07:41:49;2825.758057;3250;643.939026;17507.57617
2021-06-20 07:57:59;2825.758057;3250;643.939026;17507.57617
2021-06-20 08:14:04;2833.333984;3250;643.939026;17507.57617
2021-06-20 08:30:10;2825.758057;3257.575928;651.515015;17515.15039
2021-06-20 08:46:16;2825.758057;3250;651.515015;17515.15039
2021-06-20 09:02:24;2818.181885;3257.575928;643.939026;17515.15039
2021-06-20 09:18:29;2810.605957;3257.575928;651.515015;17515.15039
2021-06-20 09:34:34;2803.030029;3257.575928;651.515015;17530.30273
2021-06-20 09:50:40;2765.150879;3257.575928;651.515015;17530.30273
2021-06-20 10:06:48;2765.150879;3257.575928;643.939026;17515.15039
2021-06-20 10:22:52;2765.150879;3257.575928;636.364014;17507.57617
2021-06-20 10:38:56;2757.575928;3257.575928;636.364014;17500
2021-06-20 10:55:00;2750;3257.575928;628.788025;17484.84766
2021-06-20 11:11:06;2734.849121;3257.575928;628.788025;17477.27148
2021-06-20 11:27:11;2734.849121;3257.575928;621.211975;17469.69727
2021-06-20 11:43:16;2734.849121;3257.575928;628.788025;17469.69727
2021-06-20 11:59:19;2727.272949;3250;621.211975;17462.12109
2021-06-20 12:31:31;2727.272949;3257.575928;621.211975;17454.54492
2021-06-20 12:47:35;2712.121094;3250;606.060974;17446.96875
2021-06-20 13:03:39;2704.545898;3250;598.484985;17446.96875
2021-06-20 13:19:46;2727.272949;3250;590.908997;17446.96875
2021-06-20 13:35:50;2742.424072;3250;590.908997;17446.96875
2021-06-20 13:51:55;2765.150879;3257.575928;606.060974;17446.96875
2021-06-20 14:08:00;2772.727051;3257.575928;606.060974;17454.54492
2021-06-20 14:24:08;2787.878906;3250;613.635986;17446.96875
2021-06-20 14:40:12;2795.455078;3257.575928;628.788025;17446.96875
2021-06-20 14:56:18;2795.455078;3257.575928;628.788025;17446.96875
2021-06-20 15:12:23;2795.455078;3257.575928;628.788025;17462.12109
2021-06-20 15:28:30;2780.302979;3250;621.211975;17462.12109
2021-06-20 15:44:34;2772.727051;3257.575928;621.211975;17462.12109
2021-06-20 16:00:39;2765.150879;3257.575928;628.788025;17462.12109
2021-06-20 16:16:44;2765.150879;3257.575928;621.211975;17454.54492
2021-06-20 16:32:50;2780.302979;3257.575928;628.788025;17454.54492
2021-06-20 16:48:56;2787.878906;3257.575928;628.788025;17454.54492
2021-06-20 17:05:00;2795.455078;3250;628.788025;17454.54492
2021-06-20 17:21:06;2810.605957;3257.575928;628.788025;17454.54492
2021-06-20 18:09:26;2840.908936;3265.150879;659.091003;17446.96875
2021-06-20 18:25:33;2848.485107;3265.150879;659.091003;17446.96875
2021-06-20 18:41:40;2856.061035;3272.727051;659.091003;17454.54492
2021-06-20 18:57:46;2856.061035;3280.302979;666.666992;17454.54492
2021-06-20 19:13:53;2856.061035;3280.302979;674.242004;17454.54492
2021-06-20 19:46:09;2856.061035;3280.302979;674.242004;17469.69727
2021-06-20 20:02:15;2856.061035;3272.727051;674.242004;17469.69727
2021-06-20 20:18:22;2856.061035;3287.878906;666.666992;17477.27148
2021-06-20 20:34:29;2856.061035;3287.878906;674.242004;17477.27148
2021-06-20 20:50:37;2856.061035;3295.454102;681.817993;17477.27148
2021-06-20 21:06:45;2856.061035;3287.878906;674.242004;17477.27148
2021-06-20 21:22:51;2856.061035;3280.302979;666.666992;17477.27148
2021-06-20 21:38:58;2856.061035;3287.878906;674.242004;17484.84766
2021-06-20 21:55:07;2856.061035;3287.878906;674.242004;17484.84766
2021-06-20 22:11:15;2856.061035;3287.878906;681.817993;17484.84766
2021-06-20 22:27:23;2856.061035;3287.878906;681.817993;17484.84766
2021-06-20 22:43:29;2856.061035;3280.302979;681.817993;17492.42383
2021-06-20 22:59:38;2863.636963;3287.878906;674.242004;17492.42383
2021-06-20 23:15:45;2856.061035;3287.878906;681.817993;17492.42383
2021-06-20 23:31:53;2863.636963;3287.878906;681.817993;17500
2021-06-20 23:47:59;2856.061035;3280.302979;681.817993;17507.57617
2021-06-21 00:04:09;2863.636963;3287.878906;681.817993;17500
2021-06-21 00:20:16;2863.636963;3287.878906;681.817993;17507.57617
2021-06-21 00:36:23;2856.061035;3287.878906;681.817993;17507.57617
2021-06-21 00:52:29;2863.636963;3287.878906;681.817993;17507.57617
2021-06-21 01:08:38;2856.061035;3287.878906;681.817993;17507.57617
2021-06-21 01:24:45;2863.636963;3287.878906;681.817993;17515.15039
2021-06-21 01:40:53;2856.061035;3287.878906;681.817993;17515.15039
2021-06-21 01:57:00;2856.061035;3287.878906;681.817993;17515.15039
2021-06-21 02:13:08;2863.636963;3287.878906;681.817993;17515.15039
2021-06-21 02:29:15;2856.061035;3287.878906;681.817993;17515.15039
2021-06-21 02:45:22;2863.636963;3287.878906;681.817993;17522.72656
2021-06-21 03:01:29;2863.636963;3295.454102;689.393982;17530.30273
2021-06-21 03:17:37;2863.636963;3280.302979;681.817993;17515.15039
2021-06-21 03:33:44;2863.636963;3287.878906;681.817993;17515.15039
2021-06-21 03:49:52;2856.061035;3287.878906;689.393982;17522.72656
2021-06-21 04:05:59;2863.636963;3295.454102;689.393982;17522.72656
2021-06-21 04:22:06;2863.636963;3287.878906;681.817993;17522.72656
2021-06-21 04:38:14;2863.636963;3295.454102;689.393982;17522.72656
2021-06-21 04:54:21;2863.636963;3295.454102;689.393982;17530.30273
2021-06-21 05:10:29;2871.211914;3295.454102;689.393982;17530.30273
2021-06-21 05:26:40;2871.211914;3287.878906;689.393982;17515.15039
2021-06-21 05:42:47;2863.636963;3295.454102;689.393982;17515.15039
2021-06-21 05:58:55;2863.636963;3295.454102;689.393982;17530.30273
2021-06-21 06:15:03;2863.636963;3295.454102;689.393982;17522.72656
2021-06-21 06:31:13;2871.211914;3295.454102;689.393982;17522.72656
2021-06-21 06:47:21;2871.211914;3295.454102;689.393982;17530.30273
2021-06-21 07:03:27;2871.211914;3295.454102;689.393982;17515.15039
2021-06-21 07:19:36;2871.211914;3295.454102;689.393982;17522.72656
2021-06-21 07:35:46;2871.211914;3295.454102;689.393982;17530.30273
2021-06-21 07:51:53;2863.636963;3295.454102;689.393982;17530.30273
2021-06-21 08:08:01;2871.211914;3295.454102;689.393982;17530.30273
2021-06-21 08:24:08;2863.636963;3295.454102;689.393982;17530.30273
2021-06-21 08:40:18;2871.211914;3295.454102;689.393982;17515.15039
2021-06-21 08:56:24;2871.211914;3295.454102;689.393982;17522.72656
2021-06-21 09:12:30;2871.211914;3295.454102;689.393982;17530.30273
2021-06-21 09:28:38;2871.211914;3295.454102;689.393982;17545.45508
2021-06-21 09:44:46;2871.211914;3295.454102;696.969971;17553.0293
2021-06-21 10:00:52;2863.636963;3295.454102;689.393982;17537.87891
2021-06-21 10:16:56;2856.061035;3295.454102;696.969971;17530.30273
2021-06-21 10:33:02;2863.636963;3295.454102;696.969971;17537.87891
2021-06-21 10:49:10;2856.061035;3295.454102;689.393982;17537.87891
2021-06-21 11:05:16;2856.061035;3295.454102;696.969971;17537.87891
2021-06-21 11:21:21;2856.061035;3295.454102;696.969971;17530.30273
2021-06-21 11:37:26;2856.061035;3303.030029;689.393982;17522.72656
2021-06-21 11:53:34;2856.061035;3295.454102;689.393982;17515.15039
2021-06-21 12:09:38;2840.908936;3295.454102;696.969971;17515.15039
2021-06-21 12:25:43;2825.758057;3295.454102;689.393982;17515.15039
2021-06-21 12:41:47;2818.181885;3295.454102;674.242004;17507.57617
2021-06-21 12:57:55;2803.030029;3295.454102;643.939026;17507.57617
